book_id	isbn	title	author	publisher	total_pages	cover_url
b160	9788937460739	대머리 여가수	외젠 이오네스코	민음사	220	https://image.aladin.co.kr/product/40/68/cover500/8937460734_3.jpg
b161	9788937460746	이솝 우화집	이솝	민음사	256	https://image.aladin.co.kr/product/41/4/cover500/s572934787_1.jpg
b162	9788937460760	푸른 꽃	노발리스	민음사	296	https://image.aladin.co.kr/product/41/48/cover500/8937460769_3.jpg
b163	9788937460784	영혼의 집 1	이사벨 아옌데	민음사	436	https://image.aladin.co.kr/product/42/21/cover500/s937460785_1.jpg
b164	9788937460791	영혼의 집 2	이사벨 아옌데	민음사	340	https://image.aladin.co.kr/product/42/21/cover500/s937460793_1.jpg
b165	9788937460807	첫사랑	이반 세르게예비치 투르게네프	민음사	476	https://image.aladin.co.kr/product/42/34/cover500/s937460807_1.jpg
b166	9788937460814	내가 죽어 누워 있을 때	윌리엄 포크너	민음사	316	https://image.aladin.co.kr/product/42/35/cover500/s937460815_1.jpg
b167	9788937460838	팡세	파스칼	민음사	628	https://image.aladin.co.kr/product/42/96/cover500/s937460831_1.jpg
b168	9788937460845	질투	로브그리예	민음사	184	https://image.aladin.co.kr/product/43/18/cover500/893746084x_3.jpg
b169	9788937460852	채털리 부인의 연인 1	데이비드 허버트 로렌스	민음사	372	https://image.aladin.co.kr/product/43/28/cover500/8937460858_3.jpg
b170	9788937460869	채털리 부인의 연인 2	데이비드 허버트 로렌스	민음사	360	https://image.aladin.co.kr/product/43/28/cover500/8937460866_3.jpg
b171	9788937460876	그 후	나쓰메 소세키	민음사	384	https://image.aladin.co.kr/product/43/52/cover500/s937460874_1.jpg
b172	9788937460883	오만과 편견	제인 오스틴	민음사	560	https://image.aladin.co.kr/product/43/68/cover500/s937460882_1.jpg
b173	9788937443664	부활 1	레프 니콜라예비치 톨스토이	민음사	484	https://image.aladin.co.kr/product/22587/29/cover500/893744366x_2.jpg
b174	9788937443671	부활 2	레프 니콜라예비치 톨스토이	민음사	512	https://image.aladin.co.kr/product/22587/50/cover500/8937443678_2.jpg
b175	9788937460913	방드르디, 태평양의 끝	미셸 투르니에	민음사	388	https://image.aladin.co.kr/product/44/41/cover500/s262934786_1.jpg
b176	9788937460920	미겔 스트리트	V. S. 나이폴	민음사	328	https://image.aladin.co.kr/product/44/79/cover500/s232934786_1.jpg
b177	9788937460937	페드로 파라모	후안 페레스 룰포	민음사	220	https://image.aladin.co.kr/product/45/15/cover500/s242934786_1.jpg
b178	9788937460944	차라투스트라는 이렇게 말했다	프리드리히 니체	민음사	620	https://image.aladin.co.kr/product/45/40/cover500/s352934786_1.jpg
b179	9788937460951	적과 흑 1	스탕달	민음사	448	https://image.aladin.co.kr/product/45/53/cover500/s382934786_1.jpg
b180	9788937460968	적과 흑 2	스탕달	민음사	472	https://image.aladin.co.kr/product/45/53/cover500/s392934786_1.jpg
b181	9788937460975	콜레라 시대의 사랑 1	가브리엘 가르시아 마르케스	민음사	292	https://image.aladin.co.kr/product/46/10/cover500/s342934786_1.jpg
b182	9788937460982	콜레라 시대의 사랑 2	가브리엘 가르시아 마르케스	민음사	360	https://image.aladin.co.kr/product/46/10/cover500/s422934786_1.jpg
b183	9788937460999	맥베스	윌리엄 셰익스피어	민음사	160	https://image.aladin.co.kr/product/47/66/cover500/s442934786_1.jpg
b184	9788937461019	페르디두르케	비톨트 곰브로비치	민음사	464	https://image.aladin.co.kr/product/49/15/cover500/8937461013_2.jpg
b185	9788937461026	포르노그라피아	비톨트 곰브로비치	민음사	310	https://image.aladin.co.kr/product/49/16/cover500/8937461021_3.jpg
b186	9788937461033	인간 실격	다자이 오사무	민음사	191	https://image.aladin.co.kr/product/49/16/cover500/893746103x_3.jpg
b187	9788937461040	네루다의 우편배달부	안토니오 스카르메타	민음사	186	https://image.aladin.co.kr/product/50/36/cover500/8937461048_3.jpg
b188	9788937461057	이탈리아 기행 1	요한 볼프강 폰 괴테	민음사	449	https://image.aladin.co.kr/product/50/94/cover500/8937461056_2.jpg
b189	9788937461064	이탈리아 기행 2	요한 볼프강 폰 괴테	민음사	449	https://image.aladin.co.kr/product/50/94/cover500/8937461064_2.jpg
b190	9788937461071	나무 위의 남작	이탈로 칼비노	민음사	394	https://image.aladin.co.kr/product/51/4/cover500/8937461072_2.jpg
b191	9788937461088	달콤 쌉싸름한 초콜릿	라우라 에스키벨	민음사	268	https://image.aladin.co.kr/product/52/14/cover500/s937461080_1.jpg
b192	9788937461101	제인 에어 2	샬럿 브론테	민음사	437	https://image.aladin.co.kr/product/52/40/cover500/8937461102_2.jpg
b193	9788937461118	크눌프	헤르만 헤세	민음사	148	https://image.aladin.co.kr/product/52/80/cover500/8937461110_2.jpg
b194	9788937461125	시계태엽 오렌지	앤서니 버지스	민음사	232	https://image.aladin.co.kr/product/53/66/cover500/8937461129_3.jpg
b195	9788937461132	파리의 노트르담 1	빅토르 위고	민음사	436	https://image.aladin.co.kr/product/54/44/cover500/8937461137_3.jpg
b196	9788937461149	파리의 노트르담 2	빅토르 위고	민음사	508	https://image.aladin.co.kr/product/54/44/cover500/8937461145_3.jpg
b197	9788937461163	로드 짐 1	조지프 콘래드	민음사	332	https://image.aladin.co.kr/product/54/80/cover500/8937461161_2.jpg
b198	9788937461170	로드 짐 2	조지프 콘래드	민음사	328	https://image.aladin.co.kr/product/54/80/cover500/893746117x_2.jpg
b199	9788937461187	폭풍의 언덕	에밀리 브론테	민음사	572	https://image.aladin.co.kr/product/54/93/cover500/8937461188_3.jpg
b200	9788937461194	텔크테에서의 만남	귄터 그라스	민음사	276	https://image.aladin.co.kr/product/55/18/cover500/8937461196_2.jpg
b201	9788937461200	검찰관	니콜라이 바실리예비치 고골	민음사	231	https://image.aladin.co.kr/product/56/46/cover500/893746120x_2.jpg
b202	9788937461217	안개	미겔 데 우나무노	민음사	340	https://image.aladin.co.kr/product/57/1/cover500/8937461218_2.jpg
